location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Ukraine,2384564.0,57004.0,54859.405,1311.437,1.19,9239171.0,5413770.0,3825401.0,21.26,12.45,8.8,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779
United Arab Emirates,718370.0,2041.0,71901.114,204.282,0.93,18158991.0,,,181.75,,,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
United Kingdom,6821356.0,132859.0,100009.451,1947.876,1.04,90997895.0,48087908.0,42909987.0,133.41,70.5,62.91,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932
United States,39198131.0,640189.0,117742.133,1922.98,1.1,370212027.0,205026070.0,174121529.0,110.08,60.96,51.77,332915074.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
Uruguay,384934.0,6032.0,110449.702,1730.771,1.11,5587408.0,2665770.0,2508312.0,160.32,76.49,71.97,3485152.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
Uzbekistan,156394.0,1082.0,4608.53,31.884,0.94,,,,,,,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72
Vanuatu,4.0,1.0,12.72,3.18,,,,,,,,314464.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
Vatican,27.0,,33251.232,,,,,,,,,812.0,,,,,,,,,,,,,75.12,
Venezuela,334343.0,4010.0,11647.574,139.697,1.01,,,,,,,28704947.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711
Vietnam,462096.0,11064.0,4707.156,112.704,1.1,19966724.0,17347538.0,2619186.0,20.34,17.67,2.67,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704
Yemen,7869.0,1472.0,258.079,48.277,1.31,,,,,,,30490639.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47
Zambia,206327.0,3602.0,10904.854,190.374,0.72,,,,,,,18920657.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584
Zimbabwe,124773.0,4419.0,8267.399,292.801,0.58,4219824.0,2582405.0,1637419.0,27.96,17.11,10.85,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
