,location,vaccines
85,Haiti,"Johnson&Johnson, Oxford/AstraZeneca"
86,Honduras,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
87,Hong Kong,"Pfizer/BioNTech, Sinovac"
88,Hungary,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
89,Iceland,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
90,India,"Covaxin, Oxford/AstraZeneca, Sputnik V"
91,Indonesia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
92,Iran,"COVIran Barekat, Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
93,Iraq,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
94,Ireland,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
95,Isle of Man,"Oxford/AstraZeneca, Pfizer/BioNTech"
96,Israel,"Moderna, Pfizer/BioNTech"
97,Italy,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
98,Jamaica,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
99,Japan,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
100,Jersey,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
101,Jordan,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
102,Kazakhstan,"QazVac, Sinopharm/HayatVax, Sputnik V"
103,Kenya,"Oxford/AstraZeneca, Sputnik V"
104,Kiribati,Oxford/AstraZeneca
105,Kosovo,"Oxford/AstraZeneca, Pfizer/BioNTech"
106,Kuwait,Pfizer/BioNTech
107,Kyrgyzstan,"Sinopharm/Beijing, Sputnik V"
108,Laos,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
109,Latvia,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
110,Lebanon,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
111,Lesotho,Oxford/AstraZeneca
112,Liberia,Oxford/AstraZeneca
113,Libya,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
114,Liechtenstein,"Moderna, Pfizer/BioNTech"
115,Lithuania,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
116,Luxembourg,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
117,Macao,"Pfizer/BioNTech, Sinopharm/Beijing"
118,Madagascar,Oxford/AstraZeneca
119,Malawi,"Johnson&Johnson, Oxford/AstraZeneca"
120,Malaysia,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
121,Maldives,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
122,Mali,Oxford/AstraZeneca
123,Malta,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
124,Mauritania,"Oxford/AstraZeneca, Sinopharm/Beijing"
125,Mauritius,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
126,Mexico,"CanSino, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
127,Moldova,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
128,Monaco,Pfizer/BioNTech
129,Mongolia,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
130,Montenegro,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
131,Montserrat,Oxford/AstraZeneca
132,Morocco,"Oxford/AstraZeneca, Sinopharm/Beijing"
133,Mozambique,"Oxford/AstraZeneca, Sinopharm/Beijing"
134,Myanmar,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
135,Namibia,"Oxford/AstraZeneca, Sinopharm/Beijing"
136,Nauru,Oxford/AstraZeneca
137,Nepal,"Oxford/AstraZeneca, Sinopharm/Beijing"
138,Netherlands,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
139,New Caledonia,Pfizer/BioNTech
140,New Zealand,Pfizer/BioNTech
141,Nicaragua,"Oxford/AstraZeneca, Sputnik V"
142,Niger,"Oxford/AstraZeneca, Sinopharm/Beijing"
143,Nigeria,Oxford/AstraZeneca
144,Niue,Oxford/AstraZeneca
145,North Macedonia,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
146,Northern Cyprus,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
147,Northern Ireland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
148,Norway,"Moderna, Pfizer/BioNTech"
149,Oman,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
150,Pakistan,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
151,Palestine,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V"
152,Panama,"Oxford/AstraZeneca, Pfizer/BioNTech"
153,Papua New Guinea,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing"
154,Paraguay,"Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
155,Peru,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
156,Philippines,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
157,Pitcairn,Oxford/AstraZeneca
158,Poland,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
159,Portugal,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
160,Qatar,"Moderna, Pfizer/BioNTech"
161,Romania,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
162,Russia,"EpiVacCorona, Sputnik V"
163,Rwanda,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
164,Saint Helena,Oxford/AstraZeneca
165,Saint Kitts and Nevis,"Oxford/AstraZeneca, Pfizer/BioNTech"
166,Saint Lucia,Oxford/AstraZeneca
167,Saint Vincent and the Grenadines,Oxford/AstraZeneca
168,Samoa,Oxford/AstraZeneca
169,San Marino,"Pfizer/BioNTech, Sputnik V"
170,Sao Tome and Principe,Oxford/AstraZeneca
171,Saudi Arabia,"Oxford/AstraZeneca, Pfizer/BioNTech"
172,Scotland,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
173,Senegal,"Oxford/AstraZeneca, Sinopharm/Beijing"
174,Serbia,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
175,Seychelles,"Oxford/AstraZeneca, Sinopharm/Beijing"
176,Sierra Leone,"Oxford/AstraZeneca, Sinopharm/Beijing"
177,Singapore,"Moderna, Pfizer/BioNTech, Sinovac"
178,Sint Maarten (Dutch part),"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
179,Slovakia,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
180,Slovenia,"Oxford/AstraZeneca, Pfizer/BioNTech"
181,Solomon Islands,"Oxford/AstraZeneca, Sinopharm/Beijing"
182,Somalia,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac"
183,South Africa,"Johnson&Johnson, Pfizer/BioNTech"
184,South Korea,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
185,South Sudan,Oxford/AstraZeneca
186,Spain,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
187,Sri Lanka,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
188,Sudan,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac"
189,Suriname,Oxford/AstraZeneca
190,Sweden,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
191,Switzerland,"Moderna, Pfizer/BioNTech"
192,Syria,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
193,Taiwan,"Medigen, Moderna, Oxford/AstraZeneca"
194,Tajikistan,"Moderna, Oxford/AstraZeneca, Sinovac"
195,Tanzania,Johnson&Johnson
196,Thailand,"Oxford/AstraZeneca, Sinovac"
197,Timor,"Oxford/AstraZeneca, Sinovac"
198,Togo,Oxford/AstraZeneca
199,Tokelau,Pfizer/BioNTech
200,Tonga,Oxford/AstraZeneca
201,Trinidad and Tobago,"Oxford/AstraZeneca, Sinopharm/Beijing"
202,Tunisia,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
203,Turkey,"Pfizer/BioNTech, Sinovac"
204,Turkmenistan,"EpiVacCorona, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
205,Turks and Caicos Islands,Pfizer/BioNTech
206,Tuvalu,Oxford/AstraZeneca
207,Uganda,Oxford/AstraZeneca
208,Ukraine,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
209,United Arab Emirates,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
210,United Kingdom,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
211,United States,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
212,Uruguay,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
213,Uzbekistan,"Oxford/AstraZeneca, Sputnik V, ZF2001"
214,Vanuatu,"Oxford/AstraZeneca, Sinopharm/Beijing"
215,Venezuela,"Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
216,Vietnam,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
217,Wales,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
218,Wallis and Futuna,Oxford/AstraZeneca
219,Yemen,"Johnson&Johnson, Oxford/AstraZeneca"
220,Zambia,"Oxford/AstraZeneca, Sinopharm/Beijing"
221,Zimbabwe,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
