,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,abdala,coviran_barekat,cansino,covaxin,epivaccorona,johnson_johnson,medigen,moderna,oxford_astrazeneca,pfizer_biontech,qazvac,sinopharm_beijing,sinopharm_hayatvax,sinopharm_wuhan,sinovac,soberana02,sputnik_v,zf2001,PC 1,PC 2,PC 3,Class
99,Malawi,60494,2177.0,3078.938,110.802,0.58,883432.0,683640.0,410484.0,4.5,3.48,2.09,19647681,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,-3.4061118392398715,-0.19923101396195494,-1.6453661208681802,1
100,Malaysia,1746254,16664.0,53278.118,508.418,0.98,34752340.0,19746236.0,15032301.0,106.03,60.25,45.86,32776195,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,0.0,1.9,76.16,0.81,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1.442025277578905,1.1182852116186148,1.6367107567212456,4
101,Maldives,81112,226.0,149207.167,415.732,1.16,686956.0,384444.0,302512.0,126.37,70.72,55.65,543620,1454.433,30.6,4.12,2.875,15183.616,0.0,164.905,9.19,2.1,55.0,95.803,0.0,78.92,0.74,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1.0831593538826636,-0.8586534619000699,0.6229806646292221,4
102,Mali,14889,539.0,713.905,25.844,1.15,0.0,0.0,0.0,0.0,0.0,0.0,20855724,15.196,16.4,2.519,1.486,2014.306,0.0,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-3.5399021120103455,-0.22238469176284487,-0.7672636624525409,1
103,Malta,36171,441.0,70294.463,857.036,0.99,797017.0,413985.0,412767.0,154.89,80.45,80.22,514564,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,0.0,4.485,82.53,0.895,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,5.12138780659992,-1.7254008432834278,-0.17663449958151348,0
104,Mauritania,33580,715.0,7032.299,149.735,0.75,0.0,0.0,0.0,0.0,0.0,0.0,4775110,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,0.0,0.0,15.95,0.0,64.92,0.546,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-3.474687939162837,-0.2791543326649169,-0.755504424730939,1
105,Mauritius,10676,31.0,8383.67,24.344,1.36,0.0,0.0,0.0,0.0,0.0,0.0,1273428,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,0.0,3.4,74.99,0.804,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.8254569293544539,0.5059891224444857,1.0824955534543481,4
106,Mexico,3352410,259326.0,25735.858,1990.8,0.94,85375481.0,58008815.0,34282292.0,65.54,44.53,26.32,130262220,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,1.958937182248214,3.572165107533867,0.13248597459548914,4
107,Moldova,267526,6401.0,66482.191,1590.696,1.2,1284162.0,0.0,691040.0,31.91,0.0,17.17,4024025,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0.29663681631461497,-0.5411728527669895,1.209443184502961,4
108,Monaco,3201,33.0,80996.964,835.02,0.87,0.0,0.0,0.0,0.0,0.0,0.0,39520,19347.5,0.0,0.0,0.0,0.0,0.0,0.0,5.46,0.0,0.0,0.0,13.8,86.75,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1.669511466297499,-1.0990964895492215,-1.0334258627088118,1
109,Mongolia,213820,937.0,64224.058,281.442,1.28,4333638.0,2239399.0,2094239.0,130.17,67.26,62.9,3329282,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0.610844053658726,-0.5850570146849695,1.3706826884964154,4
110,Montenegro,115385,1724.0,183719.157,2745.0,1.02,394420.0,210591.0,183829.0,62.8,33.53,29.27,628051,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,0.0,3.861,76.88,0.829,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,3.095718023777904,-1.1687359320673207,1.1605200899812806,0
111,Morocco,860948,12649.0,23054.034,338.709,0.78,33721703.0,18701155.0,15020548.0,90.3,50.08,40.22,37344787,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,0.0,1.1,76.68,0.686,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.43152905251913515,0.2679325017308582,0.3660496195929638,4
112,Mozambique,146316,1864.0,4549.196,57.955,0.68,0.0,0.0,0.0,0.0,0.0,0.0,32163045,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-4.112556533622853,-0.017048125029161962,-0.8771771416149279,1
113,Myanmar,399282,15389.0,7285.368,280.79,1.01,0.0,0.0,0.0,0.0,0.0,0.0,54806014,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,-2.508373996400761,0.12551325386236822,0.438631221393128,1
114,Namibia,125046,3375.0,48329.87,1304.426,0.79,0.0,0.0,0.0,0.0,0.0,0.0,2587344,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,0.0,63.71,0.646,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-2.49316409026858,-0.31739491524023783,-0.3012899168860202,1
115,Nepal,762647,10750.0,25700.052,362.259,0.83,9799013.0,5339252.0,4459761.0,33.02,17.99,15.03,29674920,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-1.9063282036248363,-0.006846813578608839,-0.014646759808181442,1
116,Netherlands,1976440,18368.0,115089.337,1069.58,0.99,0.0,0.0,0.0,0.0,0.0,0.0,17173094,508.544,43.2,18.779,11.881,48472.545,0.0,109.361,5.29,24.4,27.3,0.0,3.32,82.28,0.944,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3.3171732805806,-1.285083714143731,-0.6004391743661847,0
117,New Zealand,3570,26.0,734.471,5.349,1.61,3502004.0,2290143.0,1211861.0,72.05,47.12,24.93,4860642,18.206,37.9,15.322,9.72,36085.843,0.0,128.797,8.08,14.8,17.2,0.0,2.61,82.29,0.931,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.2071961696753664,-1.0712459684956919,0.32135192086638664,0
118,Nicaragua,11735,200.0,1750.871,29.84,0.02,0.0,0.0,0.0,0.0,0.0,0.0,6702379,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,0.0,0.0,0.0,0.9,74.48,0.66,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-2.4342202619092466,-0.12253884900696957,-0.17592745213036234,1
119,Niger,5849,199.0,232.742,7.919,1.12,0.0,0.0,0.0,0.0,0.0,0.0,25130810,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-4.174535655331367,-0.14441639582044935,-1.0956527787587467,1
120,Nigeria,192431,2469.0,910.267,11.679,1.07,4432282.0,2994933.0,1437349.0,2.1,1.42,0.68,211400704,209.588,18.1,2.751,1.447,5338.454,0.0,181.013,2.42,0.6,10.8,41.949,0.0,54.69,0.539,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-3.3558267115965554,0.34020646970158885,-0.9235356536640924,1
121,North Macedonia,176494,5938.0,84744.469,2851.16,0.92,1253612.0,722579.0,531033.0,60.19,34.69,25.5,2082661,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,0.0,0.0,0.0,4.28,75.8,0.774,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1.0351396853627999,-0.5535256165207525,0.8488444192265115,4
122,Norway,160174,814.0,29305.685,148.931,1.38,6961714.0,3869020.0,3092694.0,127.37,70.79,56.58,5465629,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,0.0,3.6,82.4,0.957,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4.333473790039602,-1.3958334611561782,0.07575063323081249,0
123,Oman,302300,4064.0,57874.447,778.041,0.72,0.0,0.0,0.0,0.0,0.0,0.0,5223376,14.98,30.7,2.355,1.53,37960.709,0.0,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,-1.1493689885257967,-0.11288882882817623,1.0335477218558744,4
124,Pakistan,1163688,25889.0,5167.355,114.96,0.99,56768446.0,43791885.0,17455249.0,25.21,19.45,7.75,225199929,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,-1.562164771293749,3.495653097136024,1.7001911827938776,4
125,Palestine,342282,3680.0,65536.663,704.609,1.57,1392299.0,935756.0,456543.0,26.66,17.92,8.74,5222756,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,0.0,0.0,0.0,0.0,74.05,0.708,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,-0.9199155304671802,-0.5510410033321769,-0.4656770212777351,4
126,Panama,457487,7061.0,104411.351,1611.518,0.83,4359910.0,2727201.0,1632709.0,99.51,62.24,37.26,4381583,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,0.0,2.3,78.51,0.815,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1.5030374777001143,-0.977323967864993,-0.6343615865924681,4
127,Papua New Guinea,17838,192.0,1956.134,21.055,0.36,0.0,0.0,0.0,0.0,0.0,0.0,9119005,18.22,22.6,3.808,2.142,3823.194,0.0,561.494,17.65,23.5,48.8,0.0,0.0,64.5,0.555,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,-2.4649400430914876,-0.041340180349782665,0.7399919866835974,1
128,Paraguay,458528,15767.0,63511.191,2183.904,0.67,4059098.0,2285695.0,1773403.0,56.22,31.66,24.56,7219641,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,-0.07313188473429129,0.7597733827335399,0.3614731165119553,4
129,Peru,2149591,198263.0,64437.311,5943.24,0.93,18855954.0,10523443.0,8332511.0,56.52,31.55,24.98,33359415,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,0.0,0.0,1.6,76.74,0.777,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1.398203478853502,0.4378629929371349,-1.701608658361085,4
130,Philippines,1989857,33448.0,17919.067,301.206,1.13,33706295.0,0.0,13958418.0,30.35,0.0,12.57,111046910,351.873,25.2,4.803,2.661,7599.188,0.0,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,-0.5568093385196298,0.680227297344972,0.3898881614819399,4
131,Poland,2888670,75345.0,76425.907,1993.412,1.28,36286614.0,19284686.0,18787636.0,96.0,51.02,49.71,37797000,124.027,41.8,16.763,10.202,27216.445,0.0,227.331,5.91,23.3,33.1,0.0,6.62,78.73,0.88,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,4.6194736107029915,-0.35289181754717525,-0.8125768671594088,0
132,Portugal,1037927,17743.0,102078.566,1744.997,0.89,14719449.0,8638934.0,7600174.0,144.76,84.96,74.75,10167923,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,0.0,3.39,82.05,0.864,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,5.583078947911988,-1.288389414373926,-0.5151008046630664,0
133,Qatar,232744,602.0,79420.609,205.424,0.85,4454401.0,2323543.0,2130858.0,152.0,79.29,72.71,2930524,227.322,31.9,1.307,0.617,116935.6,0.0,176.69,16.52,0.8,26.9,0.0,1.2,80.23,0.848,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3.1251708749673304,-0.9691804895220059,0.33625731381869706,0
