,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
85350,Romania,1098765.0,1313.0,949.0,34570.0,31.0,18.714,57443.439,68.644,49.614,1807.32,1.621,0.978,1.49,,,,,,9092422.0,475.352,,13769.0,0.72,0.069,14.5,tests performed,9771316.0,5246235.0,5135003.0,,12110.0,11032.0,51.08,27.43,26.85,,577.0,,19127772.0,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828
85935,Russia,6820697.0,17374.0,18580.571,180009.0,776.0,781.0,46745.271,119.072,127.341,1233.682,5.318,5.353,0.95,,,,,,,,,406126.0,2.783,0.046,21.9,tests performed,80244526.0,43771190.0,36473336.0,,232498.0,381031.0,55.0,30.0,25.0,,2611.0,52.31,145912022.0,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824
86477,Rwanda,87627.0,496.0,500.0,1089.0,6.0,7.286,6600.15,37.359,37.66,82.025,0.452,0.549,0.95,,,,,8766.0,2434988.0,183.406,0.66,15944.0,1.201,0.031,31.9,samples tested,,,,,,90430.0,,,,,6811.0,,13276517.0,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543
87100,Saint Kitts and Nevis,1091.0,38.0,29.714,3.0,,,20375.005,709.67,554.93,56.027,,,1.03,,,,,,31341.0,585.31,,244.0,4.557,0.122,8.2,people tested,,,,,,135.0,,,,,2521.0,,53546.0,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779
87642,Saint Lucia,8219.0,64.0,141.0,104.0,1.0,1.0,44571.342,347.07,764.638,563.988,5.423,5.423,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,184401.0,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759
88184,Saint Vincent and the Grenadines,2336.0,,2.143,12.0,,,20994.167,,19.258,107.847,,,0.97,,,,,,,,,,,,,,,,,,,1.0,,,,,9.0,,111269.0,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738
88477,Samoa,3.0,,,,,,14.989,,,,,,,,,,,,,,,,,,,,134265.0,92319.0,41946.0,,,1163.0,67.08,46.13,20.96,,5811.0,,200144.0,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715
89033,San Marino,5331.0,10.0,7.429,90.0,,,156748.015,294.031,218.423,2646.281,,,1.01,,,,,,,,,,,,,,,,,,,8.0,,,,,235.0,,34010.0,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,
89552,Sao Tome and Principe,2608.0,15.0,8.857,37.0,,,11676.009,67.155,39.653,165.649,,,1.28,,,,,,,,,,,,,,,,,,,148.0,,,,,663.0,,223364.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625
90106,Saudi Arabia,543318.0,,189.143,8512.0,,4.429,15373.728,,5.352,240.856,,0.125,0.39,,,,,59531.0,27505312.0,778.29,1.684,58298.0,1.65,0.003,308.2,tests performed,37133188.0,22218040.0,14915148.0,,295851.0,328696.0,105.07,62.87,42.2,,9301.0,,35340680.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854
90663,Senegal,72805.0,52.0,102.714,1765.0,5.0,9.714,4233.758,3.024,5.973,102.638,0.291,0.565,0.49,,,,,1453.0,751588.0,43.706,0.084,2530.0,0.147,0.041,24.6,tests performed,,,,,,2958.0,,,,,172.0,,17196308.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
91222,Serbia,762933.0,2981.0,2366.714,7292.0,14.0,9.429,112120.249,438.086,347.811,1071.629,2.057,1.386,1.4,,,,,15529.0,5025390.0,738.529,2.282,13473.0,1.98,0.176,5.7,people tested,,,,,,22049.0,,,,,3240.0,36.11,6804596.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806
91763,Seychelles,20038.0,46.0,51.143,102.0,,0.571,202588.212,465.069,517.065,1031.241,,5.777,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,98910.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796
92288,Sierra Leone,6367.0,,1.429,121.0,,,782.058,,0.175,14.862,,,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,8141343.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452
92881,Singapore,67620.0,161.0,132.571,55.0,,0.714,11467.462,27.303,22.482,9.327,,0.121,1.68,,,,,,,,,,,,,,8890717.0,4601255.0,4434945.0,,14715.0,15627.0,150.77,78.03,75.21,,2650.0,47.22,5896684.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938
93004,Sint Maarten (Dutch part),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,1451.0,,43421.0,1209.088,,,,36327.232,,,,,,,,78.95,
93551,Slovakia,394923.0,132.0,102.714,12548.0,,0.143,72320.604,24.173,18.81,2297.863,,0.026,1.43,,,,,,,,,,,,,,4555737.0,2383452.0,2172285.0,,8380.0,7068.0,83.43,43.65,39.78,,1294.0,34.72,5460726.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86
94134,Slovenia,267198.0,541.0,436.714,4450.0,1.0,1.143,128539.493,260.256,210.088,2140.737,0.481,0.55,1.34,,,,,3789.0,1450908.0,697.98,1.823,2569.0,1.236,0.185,5.4,tests performed,1897585.0,992573.0,905012.0,,5163.0,5036.0,91.29,47.75,43.54,,2423.0,,2078723.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917
94464,Solomon Islands,20.0,,,,,,28.409,,,,,,,,,,,,,,,,,,,,83441.0,62891.0,20550.0,,,1341.0,11.85,8.93,2.92,,1905.0,,703995.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567
95004,Somalia,17466.0,67.0,82.0,977.0,8.0,7.143,1067.637,4.095,5.012,59.721,0.489,0.437,1.31,,,,,,,,,,,,,,,,,,,1102.0,,,,,67.0,,16359500.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,
95582,South Africa,2777659.0,7084.0,9815.429,82261.0,431.0,329.714,46261.936,117.984,163.476,1370.058,7.178,5.491,0.83,,,,,49168.0,16475179.0,274.394,0.819,54085.0,0.901,0.181,5.5,people tested,12568525.0,9418185.0,5985293.0,,279047.0,213203.0,20.93,15.69,9.97,,3551.0,,60041996.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709
96145,South America,36884568.0,34599.0,34220.429,1130218.0,1183.0,1048.714,84936.573,79.673,78.802,2602.629,2.724,2.415,,,,,,,,,,,,,,,362541830.0,237134286.0,132016180.0,1911130.0,1314359.0,3713520.0,83.48,54.61,30.4,0.44,8551.0,,434260138.0,,,,,,,,,,,,,,
96740,South Korea,253445.0,2024.0,1715.143,2292.0,7.0,7.857,4939.949,39.45,33.43,44.674,0.136,0.153,0.96,,,,,60600.0,12343477.0,240.589,1.181,40939.0,0.798,0.042,23.9,people tested,43826835.0,29280843.0,15751140.0,,762059.0,765589.0,85.42,57.07,30.7,,14922.0,50.93,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916
97260,South Sudan,11436.0,9.0,17.429,120.0,,,1004.799,0.791,1.531,10.544,,,0.99,,,,,,,,,,,,,,,,,,,59.0,,,,,5.0,,11381377.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433
97844,Spain,4855065.0,7767.0,7234.429,84340.0,194.0,116.143,103862.297,166.156,154.763,1804.249,4.15,2.485,0.77,,,,,,,,,,,,,,66130220.0,36533328.0,33376693.0,,457207.0,259607.0,141.47,78.15,71.4,,5554.0,47.69,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904
98433,Sri Lanka,440302.0,4221.0,5928.714,9185.0,194.0,205.0,20481.729,196.35,275.789,427.263,9.024,9.536,0.98,,,,,13936.0,4975852.0,231.464,0.648,15678.0,0.729,0.378,2.6,tests performed,20126990.0,12423579.0,7703411.0,,628583.0,312857.0,93.63,57.79,35.83,,14553.0,,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782
98977,Sudan,37709.0,1.0,8.714,2831.0,,0.429,839.669,0.022,0.194,63.038,,0.01,0.39,,,,,,,,,,,,,,,,,,,,,,,,,13.89,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51
99519,Suriname,29293.0,326.0,216.714,721.0,3.0,2.429,49498.309,550.864,366.196,1218.321,5.069,4.104,1.37,,,,,,,,,,,,,,337124.0,202440.0,134684.0,,2268.0,3497.0,56.97,34.21,22.76,,5909.0,83.33,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738
100103,Sweden,1126813.0,3400.0,1065.0,14692.0,7.0,3.143,110905.056,334.64,104.821,1446.04,0.689,0.309,1.24,,,,,,,,,,,,,,12598988.0,6894288.0,5703510.0,,,67335.0,124.0,67.86,56.14,,6627.0,,10160159.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945
100663,Switzerland,779666.0,2704.0,2526.857,10899.0,4.0,6.571,89457.465,310.252,289.927,1250.532,0.459,0.754,1.03,264.0,30.291,876.0,100.511,31736.0,9374962.0,1075.666,3.641,28479.0,3.268,0.102,9.8,tests performed,9615905.0,4981785.0,4454717.0,,23714.0,22491.0,110.33,57.16,51.11,,2581.0,44.44,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955
101197,Syria,27915.0,136.0,114.286,2013.0,6.0,4.571,1527.438,7.442,6.253,110.146,0.328,0.25,1.28,,,,,,,,,,,,,,,,,,,,,,,,,28.7,18275704.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
101797,Taiwan,15995.0,4.0,8.143,835.0,1.0,0.857,670.509,0.168,0.341,35.003,0.042,0.036,0.82,,,,,28180.0,2717978.0,113.937,1.181,22481.0,0.942,,2760.8,people tested,10958966.0,10038004.0,920962.0,,30246.0,79178.0,45.94,42.08,3.86,,3319.0,,23855008.0,,42.2,,8.353,,,103.957,,,,,,80.46,
102291,Tajikistan,17252.0,35.0,41.429,125.0,,,1769.504,3.59,4.249,12.821,,,0.64,,,,,,,,,,,,,,2808056.0,2009748.0,798308.0,,,69039.0,28.8,20.61,8.19,,7081.0,,9749625.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
102831,Tanzania,1367.0,,,50.0,,,22.228,,,0.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11,61498438.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529
103443,Thailand,1204729.0,14666.0,17254.0,11589.0,190.0,257.286,17222.508,209.662,246.659,165.673,2.716,3.678,0.9,,,,,,,,,,,,,,,,,,,,,,,,,55.09,69950844.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777
103977,Timor,16682.0,167.0,249.571,67.0,3.0,2.286,12413.357,124.268,185.71,49.856,2.232,1.701,0.97,,,,,,184871.0,137.566,,1224.0,0.911,0.204,4.9,tests performed,588299.0,389989.0,198310.0,,,4502.0,43.78,29.02,14.76,,3350.0,,1343875.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606
104529,Togo,21261.0,,185.429,185.0,,1.429,2507.713,,21.871,21.821,,0.168,1.21,,,,,2280.0,463791.0,54.704,0.269,2079.0,0.245,0.089,11.2,tests performed,,,,,,7276.0,,,,,858.0,,8478242.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515
104726,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,68404.0,41130.0,27274.0,,,1723.0,64.07,38.53,25.55,,16139.0,,106759.0,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725
105262,Trinidad and Tobago,44847.0,241.0,214.714,1291.0,6.0,6.714,31956.556,171.729,152.999,919.926,4.275,4.784,0.95,,,,,735.0,308402.0,219.758,0.524,755.0,0.538,0.284,3.5,people tested,908632.0,509516.0,399116.0,,6213.0,6437.0,64.75,36.31,28.44,,4587.0,79.63,1403374.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796
105814,Tunisia,664034.0,1282.0,2851.714,23451.0,21.0,105.286,55633.975,107.408,238.922,1964.767,1.759,8.821,0.94,,,,,13691.0,2605268.0,218.274,1.147,17148.0,1.437,0.166,6.0,people tested,,,,,,93541.0,,,,,7837.0,79.63,11935764.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74
106359,Turkey,6388301.0,21893.0,19231.429,56710.0,252.0,245.0,75118.714,257.435,226.138,666.841,2.963,2.881,0.8,,,,,297167.0,76397175.0,898.339,3.494,292351.0,3.438,0.066,15.2,tests performed,94167554.0,48271065.0,37089601.0,8806888.0,849216.0,537402.0,110.73,56.76,43.61,10.36,6319.0,32.41,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
106600,Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,2141.0,,39226.0,37.312,,,,,,,,,,,,80.22,
107254,Uganda,119915.0,90.0,145.0,3012.0,6.0,7.143,2544.695,1.91,3.077,63.917,0.127,0.152,0.18,,,,,2977.0,1586275.0,33.662,0.063,3548.0,0.075,0.041,24.5,samples tested,,,,,,8133.0,,,,,173.0,,47123533.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544
107807,Ukraine,2384564.0,1795.0,1994.286,57004.0,70.0,61.571,54859.405,41.296,45.881,1311.437,1.61,1.417,1.19,,,,,21358.0,11980323.0,275.62,0.491,19717.0,0.454,0.101,9.9,tests performed,9239171.0,5413770.0,3825401.0,,157049.0,134139.0,21.26,12.45,8.8,,3086.0,50.93,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779
108394,United Arab Emirates,718370.0,996.0,991.714,2041.0,2.0,2.143,71901.114,99.689,99.26,204.282,0.2,0.214,0.93,,,,,329146.0,74776361.0,7484.31,32.944,321605.0,32.189,0.003,324.3,tests performed,18158991.0,,,,63831.0,54591.0,181.75,,,,5464.0,46.3,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
108979,United Kingdom,6821356.0,32167.0,33596.429,132859.0,51.0,97.857,100009.451,471.608,492.565,1947.876,0.748,1.435,1.04,1014.0,14.866,7647.0,112.114,911533.0,243909849.0,3576.018,13.364,820069.0,12.023,0.041,24.4,tests performed,90997895.0,48087908.0,42909987.0,,159301.0,161804.0,133.41,70.5,62.91,,2372.0,43.98,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932
109573,United States,39198131.0,140705.0,160457.429,640189.0,1332.0,1311.429,117742.133,422.645,481.977,1922.98,4.001,3.939,1.1,25869.0,77.705,98892.0,297.049,,,,,,,,,,370212027.0,205026070.0,174121529.0,,655116.0,899462.0,110.08,60.96,51.77,,2674.0,,332915074.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
110116,Uruguay,384934.0,156.0,92.429,6032.0,3.0,1.714,110449.702,44.761,26.521,1730.771,0.861,0.492,1.11,,,,,9732.0,3325594.0,954.218,2.792,6151.0,1.765,0.015,66.5,tests performed,5587408.0,2665770.0,2508312.0,413326.0,48956.0,29382.0,160.32,76.49,71.97,11.86,8431.0,52.78,3485152.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817
110657,Uzbekistan,156394.0,755.0,815.857,1082.0,7.0,6.714,4608.53,22.248,24.041,31.884,0.206,0.198,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72
110958,Vanuatu,4.0,,,1.0,,,12.72,,,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.22,314464.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
111508,Vatican,27.0,,,,,,33251.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0,,,,,,,,,,,,,75.12,
112050,Venezuela,334343.0,,984.714,4010.0,,12.286,11647.574,,34.305,139.697,,0.428,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,28704947.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711
112643,Vietnam,462096.0,12607.0,13261.286,11064.0,,292.857,4707.156,128.422,135.087,112.704,,2.983,1.1,,,,,,14332918.0,146.003,,188013.0,1.915,0.071,14.2,samples tested,19966724.0,17347538.0,2619186.0,,256164.0,267322.0,20.34,17.67,2.67,,2723.0,72.69,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704
112811,Wallis and Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,9801.0,4952.0,4849.0,,,16.0,88.35,44.64,43.71,,1442.0,,11094.0,,,,,,,,,,,,,79.94,
113399,World,217708315.0,588450.0,643144.571,4519436.0,9014.0,9536.0,27645.621,74.724,81.67,573.899,1.145,1.211,0.97,,,,,,,,,,,,,,5341875910.0,3123788634.0,2133107450.0,15394915.0,38415343.0,41243835.0,67.83,39.67,27.09,0.2,5237.0,,7874965732.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
113914,Yemen,7869.0,40.0,41.286,1472.0,3.0,6.857,258.079,1.312,1.354,48.277,0.098,0.225,1.31,,,,,,,,,,,,,,,,,,,,,,,,,,30490639.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47
114452,Zambia,206327.0,182.0,192.857,3602.0,3.0,2.714,10904.854,9.619,10.193,190.374,0.159,0.143,0.72,,,,,7154.0,2275267.0,120.253,0.378,5957.0,0.315,0.032,30.9,tests performed,,,,,,3268.0,,,,,173.0,43.52,18920657.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584
114988,Zimbabwe,124773.0,192.0,207.571,4419.0,3.0,14.143,8267.399,12.722,13.754,292.801,0.199,0.937,0.58,,,,,5423.0,1138083.0,75.409,0.359,4434.0,0.294,0.047,21.4,tests performed,4219824.0,2582405.0,1637419.0,,47167.0,47200.0,27.96,17.11,10.85,,3127.0,78.7,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
