,location,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
64369,Maldives,81112.0,152.0,127.714,226.0,,0.143,149207.167,279.607,234.933,415.732,,0.263,1.16,,,,,4124.0,1375335.0,2529.957,7.586,5181.0,9.531,0.025,40.6,samples tested,686956.0,384444.0,302512.0,,1154.0,1021.0,126.37,70.72,55.65,,1878.0,,543620.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74
64900,Mali,14889.0,16.0,15.857,539.0,,0.429,713.905,0.767,0.76,25.844,,0.021,1.15,,,,,,,,,,,,,,,,,,,3310.0,,,,,159.0,,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434
65479,Malta,36171.0,48.0,43.571,441.0,1.0,0.571,70294.463,93.283,84.676,857.036,1.943,1.111,0.99,,,,,3117.0,1190315.0,2313.25,6.058,3133.0,6.089,0.014,71.9,tests performed,797017.0,413985.0,412767.0,,684.0,572.0,154.89,80.45,80.22,,1112.0,43.52,514564.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895
65793,Marshall Islands,4.0,,,,,,67.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59618.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704
66335,Mauritania,33580.0,148.0,194.286,715.0,4.0,4.857,7032.299,30.994,40.687,149.735,0.838,1.017,0.75,,,,,,,,,,,,,,,,,,,1302.0,,,,,273.0,,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546
66873,Mauritius,10676.0,480.0,334.571,31.0,2.0,0.714,8383.67,376.935,262.733,24.344,1.571,0.561,1.36,,,,,,,,,,,,,,,,,,,10053.0,,,,,7894.0,,1273428.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804
67488,Mexico,3352410.0,11146.0,14647.429,259326.0,835.0,694.286,25735.858,85.566,112.446,1990.8,6.41,5.33,0.94,,,,,23985.0,9344085.0,71.733,0.184,26299.0,0.202,0.402,2.5,people tested,85375481.0,58008815.0,34282292.0,,429038.0,493111.0,65.54,44.53,26.32,,3786.0,67.13,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779
67717,Micronesia (country),1.0,,,,,,8.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116255.0,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62
68265,Moldova,267526.0,322.0,324.0,6401.0,4.0,3.857,66482.191,80.019,80.516,1590.696,0.994,0.959,1.2,,,,,,,,,4635.0,1.152,0.07,14.3,tests performed,1284162.0,,691040.0,,,6404.0,31.91,,17.17,,1591.0,54.63,4024025.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75
68821,Monaco,3201.0,13.0,6.429,33.0,,,80996.964,328.947,162.666,835.02,,,0.87,,,,,,,,,,,,,,,,,,,147.0,,,,,3720.0,,39520.0,19347.5,,,,,,,5.46,,,,13.8,86.75,
